,journal_title,article_title,contributors,year,doi
0,Quarterly Journal of the Royal Meteorological Society,Quarterly Journal of the Royal Meteorological Society,"['Jack Katzfey', 'Heinke Schlünzen', 'Peter Hoffmann', 'Marcus Thatcher']",2020,10.1002/qj.3874
1,npj Climate and Atmospheric Science,npj Climate and Atmospheric Science,"['T. Kelder', 'M. Müller', 'L. J. Slater', 'T. I. Marjoribanks', 'R. L. Wilby', 'C. Prudhomme', 'P. Bohlinger', 'L. Ferranti', 'T. Nipen']",2020,10.1038/s41612-020-00149-4
2,Geoscientific Model Development,Geoscientific Model Development,"['Cathy Hohenegger', 'Peter Korn', 'Leonidas Linardakis', 'René Redler', 'Reiner Schnur', 'Panagiotis Adamidis', 'Jiawei Bao', 'Swantje Bastin', 'Milad Behravesh', 'Martin Bergemann', 'Joachim Biercamp', 'Hendryk Bockelmann', 'Renate Brokopf', 'Nils Brüggemann', 'Lucas Casaroli', 'Fatemeh Chegini', 'George Datseris', 'Monika Esch', 'Geet George', 'Marco Giorgetta', 'Oliver Gutjahr', 'Helmuth Haak', 'Moritz Hanke', 'Tatiana Ilyina', 'Thomas Jahns', 'Johann Jungclaus', 'Marcel Kern', 'Daniel Klocke', 'Lukas Kluft', 'Tobias Kölling', 'Luis Kornblueh', 'Sergey Kosukhin', 'Clarissa Kroll', 'Junhong Lee', 'Thorsten Mauritsen', 'Carolin Mehlmann', 'Theresa Mieslinger', 'Ann Kristin Naumann', 'Laura Paccini', 'Angel Peinado', 'Divya Sri Praturi', 'Dian Putrasahan', 'Sebastian Rast', 'Thomas Riddick', 'Niklas Roeber', 'Hauke Schmidt', 'Uwe Schulzweida', 'Florian Schütte', 'Hans Segura', 'Radomyra Shevchenko', 'Vikram Singh', 'Mia Specht', 'Claudia Christine Stephan', 'Jin-Song von Storch', 'Raphaela Vogel', 'Christian Wengel', 'Marius Winkler', 'Florian Ziemen', 'Jochem Marotzke', 'Bjorn Stevens']",2023,10.5194/gmd-16-779-2023
3,Communications Earth & Environment,Communications Earth & Environment,"['Jianjun Yin', 'Ming Zhao']",2021,10.1038/s43247-021-00290-9
4,Nature Climate Change,Nature Climate Change,"['Alan M. Rhoades', 'Benjamin J. Hatchett', 'Mark D. Risser', 'William D. Collins', 'Nicolas E. Bambach', 'Laurie S. Huning', 'Rachel McCrary', 'Erica R. Siirila-Woodburn', 'Paul A. Ullrich', 'Michael F. Wehner', 'Colin M. Zarzycki', 'Andrew D. Jones']",2022,10.1038/s41558-022-01518-y
5,Changes in characterising extremes,"Science of Weather, Climate and Ocean Extremes","['John E. Hay', 'Paul D. Williams']",2023,10.1016/B978-0-323-85541-9.00011-0
6,Climate Dynamics,Climate Dynamics,"['Katerina Goubanova', 'Emilia Sanchez-Gomez', 'Claudia Frauen', 'Aurore Voldoire']",2019,10.1007/s00382-018-4197-0
7,Natural Hazards and Earth System Sciences,Natural Hazards and Earth System Sciences,"['Julia F. Lockwood', 'Galina S. Guentchev', 'Alexander Alabaster', 'Simon J. Brown', 'Erika J. Palin', 'Malcolm J. Roberts', 'Hazel E. Thornton']",2022,10.5194/nhess-22-3585-2022
8,International Journal of Climatology,International Journal of Climatology,"['Marine Herrmann', 'Tung Nguyen‐Duy', 'Thanh Ngo‐Duc', 'Fredolin Tangang']",2022,10.1002/joc.7433
9,Geophysical Research Letters,Geophysical Research Letters,"['Matthew D. K. Priestley', 'Jennifer L. Catto']",2022,10.1029/2021GL096708
10,Weather and Climate Dynamics,Weather and Climate Dynamics,"['Paolo Davini', 'Federico Fabiano', 'Irina Sandu']",2022,10.5194/wcd-3-535-2022
11,"Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences","Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences","['E. J. Kendon', 'A. F. Prein', 'C. A. Senior', 'A. Stirling']",2021,10.1098/rsta.2019.0547
12,Hydrology and Earth System Sciences,Hydrology and Earth System Sciences,"['Imme Benedict', 'Chiel C. van Heerwaarden', 'Albrecht H. Weerts', 'Wilco Hazeleger']",2019,10.5194/hess-23-1779-2019
13,Journal of Climate,Journal of Climate,"['Martin Hoerling', 'Lesley Smith', 'Xiao-Wei Quan', 'Jon Eischeid', 'Joseph Barsugli', 'Henry F. Diaz']",2021,10.1175/JCLI-D-20-0666.1
14,Journal of Climate,Journal of Climate,"['Akira Kuwano-Yoshida', 'Shoshiro Minobe']",2017,10.1175/JCLI-D-16-0331.1
15,Climate Dynamics,Climate Dynamics,"['Shammi Akhter', 'Christopher E. Holloway', 'Kevin Hodges', 'Benoit Vanniere']",2023,10.1007/s00382-023-06745-3
16,Bulletin of the American Meteorological Society,Bulletin of the American Meteorological Society,"['Ryo Mizuta', 'Akihiko Murata', 'Masayoshi Ishii', 'Hideo Shiogama', 'Kenshi Hibino', 'Nobuhito Mori', 'Osamu Arakawa', 'Yukiko Imada', 'Kohei Yoshida', 'Toshinori Aoyagi', 'Hiroaki Kawase', 'Masato Mori', 'Yasuko Okada', 'Tomoya Shimura', 'Toshiharu Nagatomo', 'Mikiko Ikeda', 'Hirokazu Endo', 'Masaya Nosaka', 'Miki Arai', 'Chiharu Takahashi', 'Kenji Tanaka', 'Tetsuya Takemi', 'Yasuto Tachikawa', 'Khujanazarov Temur', 'Youichi Kamae', 'Masahiro Watanabe', 'Hidetaka Sasaki', 'Akio Kitoh', 'Izuru Takayabu', 'Eiichi Nakakita', 'Masahide Kimoto']",2017,10.1175/BAMS-D-16-0099.1
17,Journal of Geophysical Research: Oceans,Journal of Geophysical Research: Oceans,"['Jeremy P. Grist', 'Simon A. Josey', 'Adrian L. New', 'Malcolm Roberts', 'Torben Koenigk', 'Doroteaciro Iovino']",2018,10.1029/2018JC014387
18,Concurrency and Computation: Practice and Experience,Concurrency and Computation: Practice and Experience,"['Xiaoli Ren', 'Juan Zhao', 'Xiaoyong Li', 'Kaijun Ren', 'Junqiang Song', 'Difu Sun']",2019,10.1002/cpe.5290
19,Ocean Modelling,Ocean Modelling,"['Stephan Juricke', 'Sergey Danilov', 'Anton Kutsenko', 'Marcel Oliver']",2019,10.1016/j.ocemod.2019.03.009
20,Nature,Nature,"['Mohammed Ombadi', 'Mark D. Risser', 'Alan M. Rhoades', 'Charuleka Varadharajan']",2023,10.1038/s41586-023-06092-7
21,Geoscientific Model Development,Geoscientific Model Development,"['Julien Beaumet', 'Gerhard Krinner', 'Michel Déqué', 'Rein Haarsma', 'Laurent Li']",2019,10.5194/gmd-12-321-2019
22,Communications Earth & Environment,Communications Earth & Environment,"['Simon A. Josey', 'Bablu Sinha']",2022,10.1038/s43247-022-00433-6
23,Weather and Climate Dynamics,Weather and Climate Dynamics,"['Kristian Strommen', 'Stephan Juricke', 'Fenwick Cooper']",2022,10.5194/wcd-3-951-2022
24,Climate Dynamics,Climate Dynamics,"['David Docquier', 'Jeremy P. Grist', 'Malcolm J. Roberts', 'Christopher D. Roberts', 'Tido Semmler', 'Leandro Ponsoni', 'François Massonnet', 'Dmitry Sidorenko', 'Dmitry V. Sein', 'Doroteaciro Iovino', 'Alessio Bellucci', 'Thierry Fichefet']",2019,10.1007/s00382-019-04840-y
25,Climate Dynamics,Climate Dynamics,"['Valentina Pivotti', 'Bruce T. Anderson', 'Annalisa Cherchi', 'Alessio Bellucci']",2023,10.1007/s00382-022-06449-0
26,Nature Reviews Earth & Environment,Nature Reviews Earth & Environment,"['Ashley E. Payne', 'Marie-Estelle Demory', 'L. Ruby Leung', 'Alexandre M. Ramos', 'Christine A. Shields', 'Jonathan J. Rutz', 'Nicholas Siler', 'Gabriele Villarini', 'Alex Hall', 'F. Martin Ralph']",2020,10.1038/s43017-020-0030-5
27,Journal of Geophysical Research: Atmospheres,Journal of Geophysical Research: Atmospheres,"['H. Bresson', 'K. I. Hodges', 'L. C. Shaffrey', 'G. Zappa', 'R. Schiemann']",2022,10.1029/2021JD035610
28,Geoscientific Model Development,Geoscientific Model Development,"['Eric P. Chassignet', 'Stephen G. Yeager', 'Baylor Fox-Kemper', 'Alexandra Bozec', 'Frederic Castruccio', 'Gokhan Danabasoglu', 'Christopher Horvat', 'Who M. Kim', 'Nikolay Koldunov', 'Yiwen Li', 'Pengfei Lin', 'Hailong Liu', 'Dmitry V. Sein', 'Dmitry Sidorenko', 'Qiang Wang', 'Xiaobiao Xu']",2020,10.5194/gmd-13-4595-2020
29,Bulletin of the American Meteorological Society,Bulletin of the American Meteorological Society,"['Joaquim G. Pinto', 'Florian Pantillon', 'Patrick Ludwig', 'Madeleine-Sophie Déroche', 'Giovanni Leoncini', 'Christoph C. Raible', 'Len C. Shaffrey', 'David B. Stephenson']",2019,10.1175/BAMS-D-19-0026.1
30,Earth's Future,Earth's Future,"['Wenxia Zhang', 'Tianjun Zhou']",2021,10.1029/2020EF001640
31,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['W. Liu', 'P. A. Ullrich', 'O. Guba', 'P. M. Caldwell', 'N. D. Keen']",2022,10.1029/2021MS002805
32,Hydrology and Earth System Sciences,Hydrology and Earth System Sciences,"['Eveline C. van der Linden', 'Reindert J. Haarsma', 'Gerard van der Schrier']",2019,10.5194/hess-23-191-2019
33,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['Frédérique Cheruy', 'Agnès Ducharne', 'Frédéric Hourdin', 'Ionela Musat', 'Étienne Vignon', 'Guillaume Gastineau', 'Vladislav Bastrikov', 'Nicolas Vuichard', 'Binta Diallo', 'Jean‐Louis Dufresne', 'Josefine Ghattas', 'Jean‐Yves Grandpeix', 'Abderrahmane Idelkadi', 'Lidia Mellul', 'Fabienne Maignan', 'Martin Ménégoz', 'Catherine Ottlé', 'Philippe Peylin', 'Jérôme Servonnat', 'Fuxing Wang', 'Yanfeng Zhao']",2020,10.1029/2019MS002005
34,International Journal of Climatology,International Journal of Climatology,"['Mugni Hadi Hariadi', 'Gerard Schrier', 'Gert‐Jan Steeneveld', 'Ardhasena Sopaheluwakan', 'Albert Klein Tank', 'Malcolm John Roberts', 'Marie‐Pierre Moine', 'Alessio Bellucci', 'Retish Senan', 'Etienne Tourigny', 'Dian Putrasahan']",2022,10.1002/joc.7404
35,Scientific Reports,Scientific Reports,"['Abhishek Anand', 'Saroj K. Mishra', 'Sandeep Sahany', 'Mansi Bhowmick', 'Janmejai Singh Rawat', 'S. K. Dash']",2018,10.1038/s41598-018-21865-1
36,ICES Journal of Marine Science,ICES Journal of Marine Science,"['Elizabeth J Drenkard', 'Charles Stock', 'Andrew C Ross', 'Keith W Dixon', 'Alistair Adcroft', 'Michael Alexander', 'Venkatramani Balaji', 'Steven J Bograd', 'Momme Butenschön', 'Wei Cheng', 'Enrique Curchitser', 'Emanuele Di Lorenzo', 'Raphael Dussin', 'Alan C Haynie', 'Matthew Harrison', 'Albert Hermann', 'Anne Hollowed', 'Kirstin Holsman', 'Jason Holt', 'Michael G Jacox', 'Chan Joo Jang', 'Kelly A Kearney', 'Barbara A Muhling', 'Mercedes Pozo Buil', 'Vincent Saba', 'Anne Britt Sandø', 'Désirée Tommasi', 'Muyin Wang', 'Manuel Hidalgo']",2021,10.1093/icesjms/fsab100
37,Geophysical Research Letters,Geophysical Research Letters,"['Bowen Liu', 'Bolan Gan', 'Wenju Cai', 'Lixin Wu', 'Tao Geng', 'Hong Wang', 'Shengpeng Wang', 'Zhao Jing', 'Fan Jia']",2022,10.1029/2021GL096932
38,Journal of Climate,Journal of Climate,"['Stephanie Leroux', 'Thierry Penduff', 'Laurent Bessières', 'Jean-Marc Molines', 'Jean-Michel Brankart', 'Guillaume Sérazin', 'Bernard Barnier', 'Laurent Terray']",2018,10.1175/JCLI-D-17-0168.1
39,Geoscientific Model Development,Geoscientific Model Development,"['Allison C. Michaelis', 'Gary M. Lackmann', 'Walter A. Robinson']",2019,10.5194/gmd-12-3725-2019
40,Climate Dynamics,Climate Dynamics,"['Kirien Whan', 'Jana Sillmann', 'Nathalie Schaller', 'Rein Haarsma']",2020,10.1007/s00382-019-05099-z
41,Geoscientific Model Development,Geoscientific Model Development,"['Qiang Wang', 'Claudia Wekerle', 'Sergey Danilov', 'Xuezhu Wang', 'Thomas Jung']",2018,10.5194/gmd-11-1229-2018
42,Journal of Climate,Journal of Climate,"['Malcolm John Roberts', 'Joanne Camp', 'Jon Seddon', 'Pier Luigi Vidale', 'Kevin Hodges', 'Benoit Vanniere', 'Jenny Mecking', 'Rein Haarsma', 'Alessio Bellucci', 'Enrico Scoccimarro', 'Louis-Philippe Caron', 'Fabrice Chauvin', 'Laurent Terray', 'Sophie Valcke', 'Marie-Pierre Moine', 'Dian Putrasahan', 'Christopher Roberts', 'Retish Senan', 'Colin Zarzycki', 'Paul Ullrich']",2020,10.1175/JCLI-D-19-0639.1
43,Climate Dynamics,Climate Dynamics,"['Tianyun Dong', 'Wenjie Dong', 'Taichen Feng', 'Xian Zhu']",2021,10.1007/s00382-020-05461-6
44,Climate Dynamics,Climate Dynamics,"['Amanda Rehbein', 'Tercio Ambrizzi']",2023,10.1007/s00382-022-06657-8
45,Advances in Atmospheric Sciences,Advances in Atmospheric Sciences,"['Qiyang Liu', 'Fengxue Qiao', 'Yongqiang Yu', 'Yiting Zhu', 'Shuwen Zhao', 'Yujia Liu', 'Fulin Jiang', 'Xinyu Hu']",2023,10.1007/s00376-022-2159-2
46,Geophysical Research Letters,Geophysical Research Letters,['S. Scher'],2018,10.1029/2018GL080704
47,Scientific Data,Scientific Data,"['Mengrong Ding', 'Hailong Liu', 'Pengfei Lin', 'Yao Meng', 'Weipeng Zheng', 'Bo An', 'Yihua Luan', 'Yongqiang Yu', 'Zipeng Yu', 'Yiwen Li', 'Jinfeng Ma', 'Jian Chen', 'Kangjun Chen']",2022,10.1038/s41597-022-01766-9
48,Climate Dynamics,Climate Dynamics,"['Marcelino Q. Villafuerte', 'John Carlo R. Lambrento', 'Kevin I. Hodges', 'Faye T. Cruz', 'Thelma A. Cinco', 'Gemma T. Narisma']",2021,10.1007/s00382-020-05553-3
49,Climate Dynamics,Climate Dynamics,"['Fabrice Chauvin', 'Romain Pilon', 'Philippe Palany', 'Ali Belmadani']",2020,10.1007/s00382-019-05040-4
50,Geophysical Research Letters,Geophysical Research Letters,"['Hsiang‐He Lee', 'Peter Bogenschutz', 'Takanobu Yamaguchi']",2022,10.1029/2022GL099422
51,Journal of Geophysical Research: Atmospheres,Journal of Geophysical Research: Atmospheres,"['N. Ritzhaupt', 'D. Maraun']",2023,10.1029/2022JD037845
52,Nature Reviews Earth & Environment,Nature Reviews Earth & Environment,"['Min Chen', 'Zhen Qian', 'Niklas Boers', 'Anthony J. Jakeman', 'Albert J. Kettner', 'Martin Brandt', 'Mei-Po Kwan', 'Michael Batty', 'Wenwen Li', 'Rui Zhu', 'Wei Luo', 'Daniel P. Ames', 'C. Michael Barton', 'Susan M. Cuddy', 'Sujan Koirala', 'Fan Zhang', 'Carlo Ratti', 'Jian Liu', 'Teng Zhong', 'Junzhi Liu', 'Yongning Wen', 'Songshan Yue', 'Zhiyi Zhu', 'Zhixin Zhang', 'Zhuo Sun', 'Jian Lin', 'Zaiyang Ma', 'Yuanqing He', 'Kai Xu', 'Chunxiao Zhang', 'Hui Lin', 'Guonian Lü']",2023,10.1038/s43017-023-00452-7
53,Nature Climate Change,Nature Climate Change,"['Ambarish V. Karmalkar', 'Radley M. Horton']",2021,10.1038/s41558-021-01159-7
54,International Journal of Climatology,International Journal of Climatology,"['Abdullah A. Fahad', 'Bohar Singh', 'Mostofa Kamal', 'Tanvir Ahmed', 'Minhazul Kibria', 'Nazimur Rashid Chowdhury']",2022,10.1002/joc.7490
55,Nature Reviews Earth & Environment,Nature Reviews Earth & Environment,"['Erica R. Siirila-Woodburn', 'Alan M. Rhoades', 'Benjamin J. Hatchett', 'Laurie S. Huning', 'Julia Szinai', 'Christina Tague', 'Peter S. Nico', 'Daniel R. Feldman', 'Andrew D. Jones', 'William D. Collins', 'Laurna Kaatz']",2021,10.1038/s43017-021-00219-y
56,Frontiers in Marine Science,Frontiers in Marine Science,"['G. R. Foltz', 'P. Brandt', 'I. Richter', 'B. Rodríguez-Fonseca', 'F. Hernandez', 'M. Dengler', 'R. R. Rodrigues', 'J. O. Schmidt', 'L. Yu', 'N. Lefevre', 'L. Cotrim Da Cunha', 'M. J. McPhaden', 'M. Araujo', 'J. Karstensen', 'J. Hahn', 'M. Martín-Rey', 'C. M. Patricola', 'P. Poli', 'P. Zuidema', 'R. Hummels', 'R. C. Perez', 'V. Hatje', 'J. F. Lübbecke', 'I. Polo', 'R. Lumpkin', 'B. Bourlès', 'F. E. Asuquo', 'P. Lehodey', 'A. Conchon', 'P. Chang', 'P. Dandin', 'C. Schmid', 'A. Sutton', 'H. Giordani', 'Y. Xue', 'S. Illig', 'T. Losada', 'S. A. Grodsky', 'F. Gasparin', 'T. Lee', 'E. Mohino', 'P. Nobre', 'R. Wanninkhof', 'N. Keenlyside', 'V. Garcon', 'E. Sánchez-Gómez', 'H. C. Nnamchi', 'M. Drévillon', 'A. Storto', 'E. Remy', 'A. Lazar', 'S. Speich', 'M. Goes', 'T. Dorrington', 'W. E. Johns', 'J. N. Moum', 'C. Robinson', 'C. Perruche', 'R. B. de Souza', 'A. T. Gaye', 'J. López-Parages', 'P.-A. Monerie', 'P. Castellanos', 'N. U. Benson', 'M. N. Hounkonnou', 'J. Trotte Duhá', 'R. Laxenaire', 'N. Reul']",2019,10.3389/fmars.2019.00206
57,Applied Energy,Applied Energy,"['Paolo Giani', 'Felipe Tagle', 'Marc G. Genton', 'Stefano Castruccio', 'Paola Crippa']",2020,10.1016/j.apenergy.2020.115085
58,Geophysical Research Letters,Geophysical Research Letters,"['L. Cavicchia', 'E. Scoccimarro', 'G. Ascenso', 'A. Castelletti', 'M. Giuliani', 'S. Gualdi']",2023,10.1029/2023GL103001
59,Climate Dynamics,Climate Dynamics,"['Ju Liang', 'Mou Leong Tan', 'Jennifer L. Catto', 'Matthew K. Hawcroft', 'Kevin I. Hodges', 'James M. Haywood']",2023,10.1007/s00382-022-06363-5
60,Geophysical Research Letters,Geophysical Research Letters,"['Salil Mahajan', 'Linsey S. Passarella', 'Qi Tang', 'Noel D. Keen', 'Peter M. Caldwell', 'Luke P. van Roekel', 'Jean‐Christophe Golaz']",2023,10.1029/2022GL102657
61,Geophysical Research Letters,Geophysical Research Letters,"['Huanping Huang', 'Christina M. Patricola', 'William D. Collins']",2021,10.1029/2021GL094801
62,Geoscientific Model Development,Geoscientific Model Development,"['Sara Top', 'Lola Kotova', 'Lesley De Cruz', 'Svetlana Aniskevich', 'Leonid Bobylev', 'Rozemien De Troch', 'Natalia Gnatiuk', 'Anne Gobin', 'Rafiq Hamdi', 'Arne Kriegsmann', 'Armelle Reca Remedio', 'Abdulla Sakalli', 'Hans Van De Vyver', 'Bert Van Schaeybroeck', 'Viesturs Zandersons', 'Philippe De Maeyer', 'Piet Termonia', 'Steven Caluwaerts']",2021,10.5194/gmd-14-1267-2021
63,Scientific Reports,Scientific Reports,"['Tomoki Tozuka', 'Meghan F. Cronin', 'Hiroyuki Tomita']",2017,10.1038/s41598-017-10268-3
64,Climate Dynamics,Climate Dynamics,"['Mark D. Risser', 'Michael F. Wehner', 'John P. O’Brien', 'Christina M. Patricola', 'Travis A. O’Brien', 'William D. Collins', 'Christopher J. Paciorek', 'Huanping Huang']",2021,10.1007/s00382-021-05638-7
65,Weather and Climate Dynamics,Weather and Climate Dynamics,"['Gustav Strandberg', 'Petter Lind']",2021,10.5194/wcd-2-181-2021
66,Precipitation in Earth system models: advances and limitations,Precipitation Science,"['Andrés Navarro', 'Andrés Merino']",2022,10.1016/B978-0-12-822973-6.00013-5
67,Geoscientific Model Development,Geoscientific Model Development,"['Venkatramani Balaji', 'Karl E. Taylor', 'Martin Juckes', 'Bryan N. Lawrence', 'Paul J. Durack', 'Michael Lautenschlager', 'Chris Blanton', 'Luca Cinquini', 'Sébastien Denvil', 'Mark Elkington', 'Francesca Guglielmo', 'Eric Guilyardi', 'David Hassell', 'Slava Kharin', 'Stefan Kindermann', 'Sergey Nikonov', 'Aparna Radhakrishnan', 'Martina Stockhause', 'Tobias Weigel', 'Dean Williams']",2018,10.5194/gmd-11-3659-2018
68,Advances in Water Resources,Advances in Water Resources,"['Mou Leong Tan', 'Philip W. Gassman', 'Xiaoying Yang', 'James Haywood']",2020,10.1016/j.advwatres.2020.103662
69,Physics Reports,Physics Reports,"['Dmitri V. Alexandrov', 'Irina A. Bashkirtseva', 'Michel Crucifix', 'Lev B. Ryashko']",2021,10.1016/j.physrep.2020.11.002
70,Journal of Climate,Journal of Climate,"['Kewei Lyu', 'Xuebin Zhang', 'John A. Church']",2020,10.1175/JCLI-D-19-1029.1
71,Geoscientific Model Development,Geoscientific Model Development,"['Enrico Scoccimarro', 'Daniele Peano', 'Silvio Gualdi', 'Alessio Bellucci', 'Tomas Lovato', 'Pier Giuseppe Fogli', 'Antonio Navarra']",2022,10.5194/gmd-15-1841-2022
72,Geoscientific Model Development,Geoscientific Model Development,"['Donghui Xu', 'Gautam Bisht', 'Khachik Sargsyan', 'Chang Liao', 'L. Ruby Leung']",2022,10.5194/gmd-15-5021-2022
73,Climate Risk Management,Climate Risk Management,"['Laura C. Dawkins', 'Dan J. Bernie', 'Jason A. Lowe', 'Theodoros Economou']",2023,10.1016/j.crm.2023.100510
74,Climatic Change,Climatic Change,"['Helen M. Hanlon', 'Dan Bernie', 'Giulia Carigi', 'Jason A. Lowe']",2021,10.1007/s10584-021-03100-5
75,Climate Dynamics,Climate Dynamics,"['Wei Zhang', 'Gabriele Villarini', 'Enrico Scoccimarro', 'Malcolm Roberts', 'Pier Luigi Vidale', 'Benoıt Vanniere', 'Louis-Philippe Caron', 'Dian Putrasahan', 'Christopher Roberts', 'Retish Senan', 'Marie-Pierre Moine']",2021,10.1007/s00382-021-05707-x
76,Journal of Geophysical Research: Oceans,Journal of Geophysical Research: Oceans,"['O. Gutjahr', 'J. H. Jungclaus', 'N. Brüggemann', 'H. Haak', 'J. Marotzke']",2022,10.1029/2021JC018075
77,Bibliography,Deep Learning for the Earth Sciences,['various'],2021,10.1002/9781119646181.biblio
78,Geophysical Research Letters,Geophysical Research Letters,"['Karthik Balaguru', 'Gregory R. Foltz', 'L. Ruby Leung', 'Wenwei Xu', 'Dongmin Kim', 'Hosmay Lopez', 'Robert West']",2022,10.1029/2022GL099793
79,Weather and Climate Dynamics,Weather and Climate Dynamics,"['Steve Delhaye', 'Thierry Fichefet', 'François Massonnet', 'David Docquier', 'Rym Msadek', 'Svenya Chripko', 'Christopher Roberts', 'Sarah Keeley', 'Retish Senan']",2022,10.5194/wcd-3-555-2022
80,Geoscientific Model Development,Geoscientific Model Development,"['Koichi Sakaguchi', 'L. Ruby Leung', 'Colin M. Zarzycki', 'Jihyeon Jang', 'Seth McGinnis', 'Bryce E. Harrop', 'William C. Skamarock', 'Andrew Gettelman', 'Chun Zhao', 'William J. Gutowski', 'Stephen Leak', 'Linda Mearns']",2023,10.5194/gmd-16-3029-2023
81,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['I. M. Held', 'H. Guo', 'A. Adcroft', 'J. P. Dunne', 'L. W. Horowitz', 'J. Krasting', 'E. Shevliakova', 'M. Winton', 'M. Zhao', 'M. Bushuk', 'A. T. Wittenberg', 'B. Wyman', 'B. Xiang', 'R. Zhang', 'W. Anderson', 'V. Balaji', 'L. Donner', 'K. Dunne', 'J. Durachta', 'P. P. G. Gauthier', 'P. Ginoux', 'J.‐C. Golaz', 'S. M. Griffies', 'R. Hallberg', 'L. Harris', 'M. Harrison', 'W. Hurlin', 'J. John', 'P. Lin', 'S.‐J. Lin', 'S. Malyshev', 'R. Menzel', 'P. C. D. Milly', 'Y. Ming', 'V. Naik', 'D. Paynter', 'F. Paulot', 'V. Ramaswamy', 'B. Reichl', 'T. Robinson', 'A. Rosati', 'C. Seman', 'L. G. Silvers', 'S. Underwood', 'N. Zadeh']",2019,10.1029/2019MS001829
82,Computers & Geosciences,Computers & Geosciences,"['Mabel Calim Costa', 'Paulo Nobre', 'Peter Oke', 'Andreas Schiller', 'Leo San Pedro Siqueira', 'Guilherme Pimenta Castelão']",2022,10.1016/j.cageo.2021.104977
83,Climate Dynamics,Climate Dynamics,"['Virna L. Meccia', 'Doroteaciro Iovino', 'Alessio Bellucci']",2021,10.1007/s00382-021-05686-z
84,Journal of Geophysical Research: Atmospheres,Journal of Geophysical Research: Atmospheres,"['Jennifer Nakamura', 'Suzana J. Camargo', 'Adam H. Sobel', 'Naomi Henderson', 'Kerry A. Emanuel', 'Arun Kumar', 'Timothy E. LaRow', 'Hiroyuki Murakami', 'Malcolm J. Roberts', 'Enrico Scoccimarro', 'Pier Luigi Vidale', 'Hui Wang', 'Michael F. Wehner', 'Ming Zhao']",2017,10.1002/2017JD027007
85,Ocean Science,Ocean Science,"['Olaf Duteil', 'Ivy Frenger', 'Julia Getzlaff']",2021,10.5194/os-17-1489-2021
86,Climate Dynamics,Climate Dynamics,"['Minoru Chikira', 'Yohei Yamada', 'Ayako Abe-Ouchi', 'Masaki Satoh']",2022,10.1007/s00382-021-06056-5
87,International Journal of Climatology,International Journal of Climatology,"['Jesús Gutiérrez‐Fernández', 'Juan J. González‐Alemán', 'Alba Vara', 'William Cabos', 'Dmitry V. Sein', 'Miguel Ángel Gaertner']",2021,10.1002/joc.6955
88,Science Advances,Science Advances,"['Russell Blackport', 'John C. Fyfe']",2022,10.1126/sciadv.abn3112
89,Current Climate Change Reports,Current Climate Change Reports,"['Helene T. Hewitt', 'Malcolm Roberts', 'Pierre Mathiot', 'Arne Biastoch', 'Ed Blockley', 'Eric P. Chassignet', 'Baylor Fox-Kemper', 'Pat Hyder', 'David P. Marshall', 'Ekaterina Popova', 'Anne-Marie Treguier', 'Laure Zanna', 'Andrew Yool', 'Yongqiang Yu', 'Rebecca Beadling', 'Mike Bell', 'Till Kuhlbrodt', 'Thomas Arsouze', 'Alessio Bellucci', 'Fred Castruccio', 'Bolan Gan', 'Dian Putrasahan', 'Christopher D. Roberts', 'Luke Van Roekel', 'Qiuying Zhang']",2020,10.1007/s40641-020-00164-w
90,Ocean Modelling,Ocean Modelling,"['Daley Calvert', 'George Nurser', 'Michael J. Bell', 'Baylor Fox-Kemper']",2020,10.1016/j.ocemod.2020.101678
91,Atmosphere,Atmosphere,"['Jinxiao Li', 'Qun Tian', 'Zili Shen', 'Zixiang Yan', 'Majun Li', 'Jiaqing Xue', 'Yaoxian Yang', 'Lingjun Zeng', 'Yuxin Zang', 'Siyuan Li']",2022,10.3390/atmos14010085
92,Environmental Research Letters,Environmental Research Letters,"['Youichi Kamae', 'Wei Mei', 'Shang-Ping Xie']",2019,10.1088/1748-9326/ab128a
93,The Cryosphere,The Cryosphere,"['Marie-Laure Roussel', 'Florentin Lemonnier', 'Christophe Genthon', 'Gerhard Krinner']",2020,10.5194/tc-14-2715-2020
94,Geophysical Research Letters,Geophysical Research Letters,"['T. Shimura', 'W. J. Pringle', 'N. Mori', 'T. Miyashita', 'K. Yoshida']",2022,10.1029/2021GL097427
95,Journal of Climate,Journal of Climate,"['Julien Cattiaux', 'Fabrice Chauvin', 'Olivier Bousquet', 'Sylvie Malardel', 'Chia-Lun Tsai']",2020,10.1175/JCLI-D-19-0591.1
96,Climate Dynamics,Climate Dynamics,"['E. E. Tsartsali', 'R. J. Haarsma', 'P. J. Athanasiadis', 'A. Bellucci', 'H. de Vries', 'S. Drijfhout', 'I. E. de Vries', 'D. Putrahasan', 'M. J. Roberts', 'E. Sanchez–Gomez', 'C. D. Roberts']",2022,10.1007/s00382-021-06098-9
